id,id_groupement,nom,created_by,created_on,updated_by,updated_on,longitude,latitude
1332,30,MUHIMBIRA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1333,73,MUHOLOLO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1334,23,MUHONDO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1335,11,MUHONGOZI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1336,18,MUHORORO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1337,58,MUHU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1338,24,MUHUMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1339,62,MUHUMOLE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1340,57,MUHUNGWE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1341,35,MUHURI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1342,24,MUJOMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1343,24,MUKAKA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1344,24,MUKAMORANZE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1345,24,MUKANAGI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1346,30,MUKARANGE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1347,62,MUKARANGI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1348,11,MUKASONGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1349,11,MUKE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1350,11,MUKENGWA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1351,38,MUKINGO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1352,24,MUKO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1353,48,MUKOBYA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1354,4,MUKOGYA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1355,57,MUKOLE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1356,71,MUKOMBO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1357,4,MUKONDO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1358,45,MUKONDOLI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1359,11,MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1360,24,MUKUNGU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1361,24,MUKWIJA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1362,8,MULAMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1363,15,MULAMBO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1364,11,MULEHA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1365,67,MULEMA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1366,16,MULEMBWE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1367,43,MULIKI/KIHONDO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1368,62,MULIKI/MUTANDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1369,71,MULIMBI,Olivier,14:03.8,NULL,NULL,NULL,NULL
1370,11,MULINDE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1371,9,MULINDE/BAPFUNA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1372,45,MULINDE/KISIMBA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1373,10,MULIWAO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1374,7,MULU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1375,43,MULYOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1376,11,MUMBA/B-MUKOTO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1377,59,MUMBA/M-MATANDA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1378,11,MUMO,Olivier,14:03.8,NULL,NULL,NULL,NULL
1379,11,MUNANIRA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1380,62,MUNDABUYE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1381,71,MUNDASE,Olivier,14:03.8,NULL,NULL,NULL,NULL
1382,11,MUNDU,Olivier,14:03.8,NULL,NULL,NULL,NULL
1383,43,MUNGANGA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1384,4,MUNGARA,Olivier,14:03.8,NULL,NULL,NULL,NULL
1385,59,MUNGO,Olivier,14:03.8,NULL,NULL,NULL,NULL
